Short Code, Account Type, Available Balance, Currency, Date
100231,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100244,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100240,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100229,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100252,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100227,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100249,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100239,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100241,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100253,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100222,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100219,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100206,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100220,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100214,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100209,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100207,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
123456,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100245,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100226,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100212,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100211,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100205,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
123457,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100217,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100218,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100221,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100250,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
